Epochs,Method,Seed,Method_Acc,Best_Ind_Acc,Improvement
10,simple_avg,123,0.055936325447711696,0.055936325447711696,0.0
10,simple_avg,456,0.055936325447711696,0.055936325447711696,0.0
10,simple_avg,789,0.055936325447711696,0.055936325447711696,0.0
10,simple_avg,101,0.055936325447711696,0.055936325447711696,0.0
10,median,42,0.055936325447711696,0.055936325447711696,0.0
10,median,123,0.055936325447711696,0.055936325447711696,0.0
10,median,456,0.055936325447711696,0.055936325447711696,0.0
10,median,789,0.055936325447711696,0.055936325447711696,0.0
10,median,101,0.055936325447711696,0.055936325447711696,0.0
15,c2m3,42,0.055936325447711696,0.055936325447711696,0.0
15,c2m3,123,0.055936325447711696,0.055936325447711696,0.0
15,c2m3,456,0.055936325447711696,0.055936325447711696,0.0
15,c2m3,789,0.055936325447711696,0.055936325447711696,0.0
15,c2m3,101,0.055936325447711696,0.055936325447711696,0.0
15,fedavg,42,0.055936325447711696,0.055936325447711696,0.0
15,fedavg,123,0.055936325447711696,0.055936325447711696,0.0
15,fedavg,456,0.055936325447711696,0.055936325447711696,0.0
15,fedavg,789,0.055936325447711696,0.055936325447711696,0.0
15,fedavg,101,0.055936325447711696,0.055936325447711696,0.0
15,simple_avg,42,0.055936325447711696,0.055936325447711696,0.0
15,simple_avg,123,0.055936325447711696,0.055936325447711696,0.0
15,simple_avg,456,0.055936325447711696,0.055936325447711696,0.0
15,simple_avg,789,0.055936325447711696,0.055936325447711696,0.0
15,simple_avg,101,0.055936325447711696,0.055936325447711696,0.0
15,median,42,0.055936325447711696,0.055936325447711696,0.0
15,median,123,0.055936325447711696,0.055936325447711696,0.0
15,median,456,0.055936325447711696,0.055936325447711696,0.0
15,median,789,0.055936325447711696,0.055936325447711696,0.0
15,median,101,0.055936325447711696,0.055936325447711696,0.0
20,c2m3,42,0.055936325447711696,0.055936325447711696,0.0
20,c2m3,123,0.055936325447711696,0.055936325447711696,0.0
20,c2m3,456,0.055936325447711696,0.055936325447711696,0.0
20,c2m3,789,0.055936325447711696,0.055936325447711696,0.0
20,c2m3,101,0.055936325447711696,0.055936325447711696,0.0
20,fedavg,42,0.055936325447711696,0.055936325447711696,0.0
20,fedavg,123,0.055936325447711696,0.055936325447711696,0.0
20,fedavg,456,0.055936325447711696,0.055936325447711696,0.0
20,fedavg,789,0.055936325447711696,0.055936325447711696,0.0
20,fedavg,101,0.055936325447711696,0.055936325447711696,0.0
20,simple_avg,42,0.055936325447711696,0.055936325447711696,0.0
20,simple_avg,123,0.055936325447711696,0.055936325447711696,0.0
20,simple_avg,456,0.055936325447711696,0.055936325447711696,0.0
20,simple_avg,789,0.055936325447711696,0.055936325447711696,0.0
20,simple_avg,101,0.055936325447711696,0.055936325447711696,0.0
20,median,42,0.055936325447711696,0.055936325447711696,0.0
20,median,123,0.055936325447711696,0.055936325447711696,0.0
20,median,456,0.055936325447711696,0.055936325447711696,0.0
20,median,789,0.055936325447711696,0.055936325447711696,0.0
20,median,101,0.055936325447711696,0.055936325447711696,0.0
25,c2m3,42,0.055936325447711696,0.055936325447711696,0.0
25,c2m3,123,0.055936325447711696,0.055936325447711696,0.0
25,c2m3,456,0.055936325447711696,0.055936325447711696,0.0
25,c2m3,789,0.055936325447711696,0.055936325447711696,0.0
25,c2m3,101,0.055936325447711696,0.055936325447711696,0.0
25,fedavg,42,0.055936325447711696,0.055936325447711696,0.0
25,fedavg,123,0.055936325447711696,0.055936325447711696,0.0
25,fedavg,456,0.055936325447711696,0.055936325447711696,0.0
25,fedavg,789,0.055936325447711696,0.055936325447711696,0.0
25,fedavg,101,0.055936325447711696,0.055936325447711696,0.0
25,simple_avg,42,0.055936325447711696,0.055936325447711696,0.0
25,simple_avg,123,0.055936325447711696,0.055936325447711696,0.0
25,simple_avg,456,0.055936325447711696,0.055936325447711696,0.0
25,simple_avg,789,0.055936325447711696,0.055936325447711696,0.0
25,simple_avg,101,0.055936325447711696,0.055936325447711696,0.0
25,median,42,0.055936325447711696,0.055936325447711696,0.0
25,median,123,0.055936325447711696,0.055936325447711696,0.0
25,median,456,0.055936325447711696,0.055936325447711696,0.0
25,median,789,0.055936325447711696,0.055936325447711696,0.0
25,median,101,0.055936325447711696,0.055936325447711696,0.0
